alert_id,created_at,region,message,emergency_level,disaster_category
259238,2026/06/08 08:15:15,경상남도 진주시 판문동,"수도관 파손에 따른 긴급복구공사로 금일 8:30~12:00 판문, 평거동 단수예정. 단수 전 필요한 물을 미리 받아두시기 바라며 혼탁수는 흘려보내 사용[진주시]",안전안내,기타
259239,2026/06/08 08:59:46,경기도 김포시 ,"금일 08:50 장기지하차도 강화방면 교통사고 발생. 터널 내 조명파손으로 매우 어둡고, 차량정체가 심각하오니 우회하시기 바랍니다.[김포시]",안전안내,기타
259242,2026/06/08 11:53:14,경기도 김포시 ,장기지하차도 강화방면 사고로 인한 보수공사가 14:00까지 연장되었습니다. 장기지하차도 강화방면은 14:00까지 전면통제이므로 우회하시기 바랍니다.[김포시],안전안내,기타
259246,2026/06/08 16:10:40,전북특별자치도 정읍시 ,호남고속도로 정읍IC→내장산IC 방향 4km 지점(삼산동 719-2)에서 5중 추돌사고가 발생하여 1차로 통제 중입니다. 해당 구간 운행 시 감속운전 등 안전에 유의하시기 바랍니다. [정읍시],안전안내,기타
259245,2026/06/08 14:00:15,경상남도 사천시 ,"자전거대회 관련 교통통제 알림, 6. 11.(목) 9:30~13:00/우주항공청▶소산마을▶이동삼거리▶배춘삼거리▶탑리삼거리▶목단마을입구▶서포삼거리▶사천대교▶인성주유소▶봉현삼거리▶소산마을▶우주항공청[사천시]",안전안내,기타
259235,2026/06/08 03:08:40,경기도 파주시 파평면,"금일 01:10분, 파평면 눌노리 267-1 공장화재 발생으로 다량의 연기발생. 인근 주민께서는 창문을 닫고 연기흡입에 주의해 주시기 바랍니다. [파주시]",안전안내,화재
259234,2026/06/07 22:39:10,"경기도 안산시 상록구 ,경기도 안산시 단원구 ",금일 21:05경 단원구 성곡동 공장 화재로 다량의 연기가 발생하고 있습니다. 인근 주민께서는 창문을 닫고 연기 흡입에 주의하시기 바랍니다.[안산시],안전안내,화재
259230,2026/06/07 14:05:41,충청남도 천안시 동남구 광덕면,"물놀이 사고예방을 위해 충분한 준비운동, 구명조끼착용, 야간·음주 후 수영금지, 어린이는 반드시 보호자와 함께하기 등 안전수칙을 준수하시기 바랍니다.[천안시]",안전안내,기타
259231,2026/06/07 14:05:57,충청남도 천안시 동남구 북면,"물놀이 사고예방을 위해 충분한 준비운동, 구명조끼착용, 야간·음주 후 수영금지, 어린이는 반드시 보호자와 함께하기 등 안전수칙을 준수 하시기 바랍니다.[천안시]",안전안내,기타
259221,2026/06/07 02:18:27,전북특별자치도 정읍시 ,"6일 23시경 북면공단2길 발생 화재는 진화 완료되었으나, 화재 악취로 인해, 인근 주민들께서는 창문을 닫고 가급적 실내에 머물러 주시기 바랍니다. [정읍시]",안전안내,화재
259233,2026/06/07 21:43:35,경기도 안산시 단원구 ,"금일 21:05경 단원구 성곡동 공장 화재 발생. 인근 주민께서는 창문을 닫아 주시고, 차량은 화재현장 주변 도로는 우회하시기 바랍니다.[안산시]",안전안내,화재
259229,2026/06/07 13:17:31,강원특별자치도 속초시 청호동,금일 13:30~15:00 청호로3길29(청호동성당)일대 상수관 파열로 단수 예정. 식수 확보 및 급수설비(커피머신 등) 사용 시 탁수 주의 바랍니다. [속초시],안전안내,수도
259232,2026/06/07 17:41:25,"경상북도 포항시 남구 ,경상북도 포항시 북구 ","포항시 남구 오천읍 문덕 실종 치매노인을 찾습니다. 김경희(66세,여,155cm) 분홍꽃무늬 반팔·보라색 칠부바지·흑발·가슴명찰 착용. 발견시 112신고[경찰청]",안전안내,기타
259226,2026/06/07 10:07:03,경상남도 산청군 ,"일몰 후, 일출 전 산림 주변 영농부산물, 쓰레기 등 소각 행위를 절대 금지하며, 적발 시 과태료가 부과됩니다. [산청군]",안전안내,산불
259224,2026/06/07 09:29:36,경상북도 경주시 ,"여름철 물놀이 사고 예방을 위해 구명조끼 착용, 야간/음주 후 입수 금지, 어린이는 보호자 동반, 준비운동 등 안전수칙을 준수해주시기 바랍니다. [경주시]",안전안내,기타
259225,2026/06/07 09:37:56,강원특별자치도 양양군 ,"동해안 너울성파도로 여름철 수상안전사고 발생률이 매우 높습니다. 물놀이, 낚시, 수상레저 활동시 구명조끼 착용 등 안전수칙을 반드시 지켜주시기 바랍니다.[양양군]",안전안내,기타
259222,2026/06/07 06:04:43,서울특별시 은평구 수색동,금일 04:22 차량이 전신주 추돌로 수색동 314-1일대 정전발생. 복구에 장시간(10시간 이상) 소요 예상. 콘센트를 뽑고 안전사고에 유의바랍니다. [은평구],안전안내,정전
